isbn,similar_books
0020418809,"0316037443,0451138945,0451183681,055321263X,0140440100,0394743180,0449006883,0380506092,0373484372,0440204232"
0020427859,"0689710879,0689710887,0689710895,0515117153,0689711522,0440173507,067972267X,0373262361,0553571729,0804109176"
0020442009,"0020442106,0020442602,0020442408,0020442505,0020442300,0671664859,0679450009,0765342510,0671017144,0451194586"
0020442106,"0020442009,0020442300,0020442505,0671017144,0425119114,0061097497,0020442408,0380731215,0671041649,0670036056"
0020442203,"0020442408,0020442602,0020442009,1853260487,0671664859,0590407600,0679450009,0590435124,0590435132,0590437208"
0020442300,"0020442106,0020442009,0871233150,0020442602,0446300292,0451194586,0399138161,0140384510,0451199669,0425158608"
0020442408,"0020442009,0020442505,1853260487,0020442203,0671664859,0679450009,0020442602,0671017144,0743436741,0394556968"
0020442505,"0020442009,0020442408,0020442106,0020442602,0671017144,0679450009,0765342510,0425119114,0061097497,0380731215"
0020442602,"0020442009,0020442505,1853260487,0671664859,0020442300,0020442408,0679450009,0020442203,0451194586,0445405627"
0020446500,"0399238794,3462032208,3548256740,3492225926,0553240455,0061044539,044021808X,0486424634,3498016709,3764501782"
0020449313,"0445408553,0553298054,0307020223,0553278193,068983571X,0553577808,0345328396,0671664271,0140153195,0345350502"
0020518501,"3548256740,3498016709,3492225926,0373028768,0449147657,0446613150,0449004503,0345374797,031298376X,0061044539"
0020518706,"059043280X,0380758377,0671702440,0451821114,0061057088,0440984459,0380717573,0451522192,0449148041,0345272595"
0020519001,"0515122416,3492225926,3803112133,0345311779,0553578936,3498016709,0345374797,0425156028,0061044539,0373028768"
0020532105,"055327824X,0451209850,0446601934,0345260406,0553212141,0486264726,0345409663,0486272842,0486401588,0671638688"
0020545509,"0553099590,0446609188,0440210895,0345435648,0515125024,0373242026,0345433262,055357924X,0380802600,0515118907"
0020811853,"0002005018,0609809547,0446613150,0553578936,044021808X,3492225926,0151885338,0486424634,031298376X,0330282565"
0020868308,"0345394380,0312966199,0373872135,0380731207,0553375067,0140179518,0060919833,0865470545,0440219507,0451410106"
002089130X,"0671463195,0804110867,0804112975,0451402502,0380725347,0515103454,0385294166,0141001534,0446358754,0960068880"
002411510X,"0393301583,0679723420,3498016709,3764501782,3803112133,0553578936,3492225926,0151885338,0312979649,0425156028"
002542730X,"0028604199,8251800811,0679428887,1551666219,0671823884,0440107016,0394530152,0553205587,0525455205,0671740504"
0028604032,"0590568892,0671664859,0425087395,0671891529,0811816753,0671046160,0807593664,0590108395,0671727125,0425097773"
0028604199,"0878575103,002542730X,0446353728,0553577565,0345394380,0671721631,0440235758,0440235715,0064462080,0451200861"
0028604202,"048629899X,0679729461,0486270696,0553577565,0671721631,0060012897,0440235758,0440235715,0451200861,0312246560"
0044409494,"0060165987,0380730219,0439135508,0740718770,0525946756,1931686408,0385492995,0786814934,0060394447,0963960733"
0060001445,"0425186857,038077013X,0345464982,1551666588,0505524848,0553584219,0743419162,0060529466,0380818965,0399147330"
0060001453,"0373226985,0060092661,0380813017,0380817411,1551668521,0505524457,0060002077,0804119791,0451203585,0380818205"
0060001801,"0743419154,0671780387,0553133160,044011408X,1551668831,0060168382,1551668068,0821766139,0743410602,0060529466"
0060002050,"0060092130,0060505249,1551667916,0425186857,0505524473,038082082X,0380806312,0380817896,0373483422,0380819619"
0060002069,"155166741X,0060502177,0505525275,0380819600,0373835795,0553583549,0778320200,0451211146,0060508108,0373691114"
0060002077,"1551668521,0380820900,0399147330,0505525224,1551666588,0060529466,0743419162,0312977301,0553584219,0505524848"
0060002492,"0451196864,0743489063,0553581503,0446610968,0515127132,0345333578,0743418220,1551668114,0394854438,0515115029"
006000438X,"0385497296,0345389247,0140286276,068484270X,0399142789,0679746692,0141180633,068480087X,067187263X,0312187106"
006000469X,"0440237033,089296765X,0670030457,1575668793,0505525062,0345456521,1551668939,0892967803,0066214718,0425189465"
0060005424,"0064471837,0061041998,044922368X,0439551234,3492225926,0486424634,0449147657,0345374797,044021808X,0061044539"
0060005548,"0515130974,006109286X,0449000877,0804108692,0451210158,0440126894,0515133310,0440235804,0440234697,0553581929"
0060007192,"0064408663,0064408639,0349103232,0763617229,0670032891,0761121102,014130636X,0064407683,0749396660,0064408655"
0060007575,"0449217124,0385475772,039458872X,0399150749,0743226356,0684856077,0060578955,0385336780,0449006557,031226772X"
0060007788,"3492225926,3764501782,3803112133,3548256740,0553240455,0312979649,044021808X,0486424634,0345311779,0330282565"
006000780X,"0679445102,0671826859,0679432965,0679455884,0375705244,0060509392,0893757071,0061091618,0451525221,0553587188"
0060008024,"0060183713,0060193751,0380978091,0743202562,0060393211,0449148718,0688180728,0684814897,0380791382,0671034421"
0060008032,"0553291009,0451196864,0380807351,0425169375,0553581503,0312965737,0553256920,0345333578,0373262485,0448089033"
0060008725,"0152025057,0451206401,0399149295,078688262X,0525946578,0395875145,0375407251,0060391480,0061090530,055357292X"
0060008776,"0671015176,0373835353,0393010465,0451526996,0812522486,037376474X,0425150976,0425161021,0312968523,0345452062"
0060008873,"0425097250,0345460693,0440234689,0515132039,0060931396,0553106651,0553290320,0440500729,0399144706,0743242483"
0060009241,"0425180298,0553582259,0380819600,0843952083,0505525224,0553584219,0345464982,0312977301,0505524848,0449004864"
006000925X,"0380819732,0312989202,0451212169,1551667142,0451210751,0380820064,0778320219,0312983743,0312983751,0312982623"
006000942X,"0140179518,0865470545,0449911683,0679767924,0743430344,042518627X,0743223527,0312203764,0007154615,0140384510"
0060011912,"0515104191,0385420137,0743446526,0440224608,0515122564,0142002399,0671036556,0451410130,0425181200,0671023225"
006001203X,"0312240910,0525938532,0385299109,0425095576,0316171530,0061092819,0517594994,0345361571,0440211492,0440114756"
0060012781,"0066211662,0374237131,3498016709,0553578936,0061044539,3803112133,0330282565,0345311779,0553240455,031298376X"
0060012897,"048629899X,0312246560,0804113831,0375407340,0446606944,0425124819,0486280551,068815333X,0804112835,0804110379"
0060013117,"0425132153,006001315X,0060529466,0380818965,0505525224,0449004864,0505524848,0843952083,0345464982,1551666588"
0060013125,"0749396660,0380729407,0425194507,0679441891,0349103232,0425099229,0425067866,0142000329,0345314867,0061031321"
006001315X,"0451162331,0505524848,0505525224,0060529466,0425195244,0743419162,0843952083,0345464982,0312977301,0380818965"
0060014342,"0440213355,0393324826,0345369068,0393316041,0517122707,0679879242,0671663984,0425098680,0399145087,0786817070"
0060080841,"0553577565,0449214982,0671721631,0440235758,0440235715,0440207290,0140432914,0751519782,0671024817,0061030996"
0060081597,"0140620508,0345441702,0375502548,0340335017,0385491328,0553279726,0740718770,0670891568,0971766711,0664224199"
0060083255,"0380732343,0671799045,0553569414,0312927452,0451179900,0312989709,0743454146,0743405900,0312957890,0380727617"
0060083298,"0804108552,0394854438,044661078X,0380805421,0743205049,0743489063,0373250479,0553290320,0812544706,0553288555"
0060083948,"0380569523,0446301302,0425109240,042511872X,0380646420,0440128994,0440211921,055358135X,0440141966,0449214362"
0060084405,"0765345889,0440204739,0140179518,0767906543,0865470545,0553582267,0312287682,0425184285,0767901592,0449911683"
0060084456,"0553231081,0515129232,0804117934,0385333757,0671532855,0060927542,1401300596,0449150046,0345412885,0451186346"
006008460X,"0373290306,0821756389,0425161951,0394536746,0590460560,006018650X,038077352X,0385315066,0345373294,0312983751"
0060085444,"0373244428,0451208617,0425176339,1551665964,0671648136,0425161951,0440222680,0312980191,0843945656,1582432678"
0060085452,"031228327X,0440234719,0446360074,0060294671,1551665964,0060507365,1401300901,0451410912,0449005569,0448089033"
0060086246,"0345385942,0515119482,1551665921,0060008032,0345433106,0060520507,0061010707,0671776800,0451209710,0380564998"
0060086386,"0373250215,0765345889,0060096209,0743457536,0373250282,0373250266,081296666X,0312926057,0758205686,0425176053"
0060086661,"0064405788,0553289063,0312310064,0515117153,0805054081,0345311779,0345374797,0449004503,0553578936,0440122961"
0060090367,"0451208617,0385336772,0446690155,0312979649,0440122961,0345311779,044021808X,031298376X,0330282565,0446613150"
0060090375,"0060090383,0451199871,0380762978,0732257093,0373250312,0758205686,0441006787,0345391330,0741412780,0440226023"
0060090383,"0060090375,0380762978,0373250312,0060520507,0758205686,0553565370,038080722X,0553573608,0451200535,0060562080"
0060092130,"0060505249,0821771485,0425186857,0671786172,0399147330,0345464982,0505525224,0312977301,0380818965,1551666588"
0060092645,"0380820897,0425163997,0312982208,0821771477,0380819732,0060531231,038082079X,038082082X,0778320219,0312982623"
0060092653,"0821772252,0505525062,1551668939,0425189465,1551668114,1551666928,0380820706,0743477316,0505524430,0786014474"
0060092661,"1551668521,0060001453,0060002077,0380819732,0425161951,0380820854,1551668424,0778320219,0380820900,0425191230"
0060092963,"0743456181,0373691114,0312982208,0821771477,0060002077,0451408489,0373710216,1551668521,0821769332,0380820897"
0060094397,"0515130095,0440224012,0515107476,0515114863,0449215237,0515117153,0515103977,0440173507,0515111139,0152012397"
0060094850,"0525947345,0671318314,0385497954,0679730346,0061009504,0446400157,0140280464,0812558626,0743255453,0375726055"
0060096195,"0373250282,0380780879,0373226780,0007106572,0765345889,0743418204,0060517212,0060548215,0060085452,0312313810"
0060096209,"0425188213,0451205480,0451210816,0505525224,0345464982,0380818965,0843952083,1551666588,0505524848,0449004864"
0060097469,"0060165987,0064472876,0380730219,0439135508,1931686408,0064473627,0140179518,0152025057,0060394447,0451206401"
0060097825,"0446404241,078681859X,0385484011,0440235987,0439327660,0875962955,0679824111,0671003739,0446671444,0061044636"
0060099089,"0553577565,0671721631,0440235758,0440235715,0878575103,0375701214,0671721720,0812531019,0020125305,0446676098"
0060139145,"0440107016,1551666219,0671823884,0553130285,0812551389,0671726528,0156001942,0061061433,0385313632,0670844527"
0060156732,"0440961327,0064403823,0440409233,0590213113,0316058432,0374400164,0679737413,0380758369,0399134700,0380709147"
006015957X,"0684867974,0385314744,0525946233,0786885688,849550152X,8495501198,8495501090,8495359537,8483101610,8478886451"
0060161582,"1400047714,0786865644,0440212626,0140328718,0553213466,038529932X,0198607024,0060812508,0393325172,0394578198"
0060163704,"0786868414,0884270610,0312965338,006091646X,0446378445,0399138749,0140167153,0374270325,0671016768,0553099558"
0060163747,"0679437037,0425095576,0373511876,0515134120,0804108412,0440209358,0060192704,0446526126,0394543963,0394848365"
0060163976,"0553260669,0425104273,0671017152,0553272500,0553285653,0140088393,0836220498,0836218426,0679721746,0671637185"
0060165979,"0553299611,0913299545,0590485849,0449910644,1885211066,067151699X,067169507X,067943853X,0060392827,0786808772"
0060165987,"0380730219,0439135508,1931686408,0060394447,1592980414,0060097469,0452282292,0743226356,3822860867,0375726012"
006016767X,"0449243583,0140083871,067972267X,0345332636,0451133129,034531607X,0553346148,067165764X,0553256750,0380506092"
0060168013,"0553293605,0380781441,1401039081,0395866502,0380788683,0972172335,0671025570,1592980414,0804108862,0679445102"
0060168382,"0553133160,0671780387,044011408X,0821766139,038080736X,0553576232,0671416359,0373832826,1551666669,0380782391"
006016848X,"067146714X,0880385979,0448089033,0345300998,0590440616,0553240455,0440122961,3498016709,3492225926,3462032208"
0060169281,"0517101351,0140122060,0345359925,0553135457,006103083X,0671003682,0786884142,0312963815,0525946063,0385302320"
0060171316,"0553211277,0440417945,0451162188,0836217241,0345418018,0425130215,0743439740,0440226139,014100018X,006101351X"
006017143X,"0394755235,0449911683,0060806982,0449220893,0140186832,0061044571,1551665891,0679732268,0671897071,0449911217"
0060171626,"3498016709,3803112133,3764501782,0330282565,0345311779,0553578936,0449004503,0446613150,0373028768,0061044539"
0060171928,"0553298054,0307020223,0064402053,0440467012,0395585643,0671664271,0064400565,0399238794,0743205812,1569472475"
0060172126,"0061056383,0440472415,0312974922,0671738666,0060171626,0553568922,0446315001,006100345X,0440473500,0380720132"
0060172916,"0151001510,3764501782,0425156028,3462032208,044021808X,0440122961,3548256740,0449004503,3803112133,0373028768"
0060173076,"068815090X,0553241478,0553089196,0891076182,0671619373,0399145850,0804111146,068484270X,0786889837,155166870X"
0060173289,"0060183713,0425098729,0786889446,0440151414,0743245733,0446346802,0449130673,0393000567,0380712520,0399146431"
0060175400,"0804108889,0140177361,3764501782,0345311779,0061044539,0345374797,3803112133,0449147657,3498016709,3492225926"
0060175532,"0671891081,0440161061,0590934252,0394826264,0590582895,0440409462,0440986591,0679889310,0425179621,0440226708"
0060175680,"3498016709,3764501782,3492225926,3462032208,0061044539,0449004503,0449147657,0373028768,0446613150,0345374797"
0060175818,"0451405919,0061000299,0061092614,0440204925,0425146227,0061000035,0449210375,0380720248,0061093920,0440209358"
0060175966,"0060094397,0679414614,0670887315,0446674249,0380731398,0394574745,0679728759,0394574753,0385315724,0345389247"
0060176075,"0345442741,0452279488,0446529001,0449215946,0380725576,1565124057,0399149368,0345440137,037541388X,0515124281"
0060176083,"0449244679,0451188969,0446600784,0345391330,0684857340,0671758721,0449904628,0679769781,0425102432,0312857691"
006017613X,"0425095576,0373511876,0515134120,0394848365,1551665182,1572971835,068485029X,059056885X,0671016792,0060176164"
0060176156,"0449245101,0451176820,068480753X,0671792814,0765341522,0679731806,0671726730,0671002481,0060191813,0425137457"
0060176164,"3498016709,0553240455,0449004503,0345374797,0330282565,0449147657,0446613150,0373028768,3492225926,031298376X"
0060176806,"0070064512,0385314124,0517064626,0671664948,0060177225,0517593335,0812513010,0553278363,0553100157,0380707837"
0060177225,"0380707837,1551665727,0804113874,0515130125,0446519804,0451180216,0446527130,0446612510,0060176806,0671047507"
0060177233,"0440172217,0373872364,0345379365,0440236754,0553109839,0553273299,0671673653,0553280147,0440203856,0385333064"
0060177349,"0671890085,0385294166,0786861827,0345300785,0671891529,0670825379,0451173082,0345346297,0345396537,0440226139"
006017773X,"3492225926,3498016709,3764501782,3803112133,0345374797,3462032208,0425156028,0061044539,0345311779,0330282565"
0060177888,"0590568892,0671891529,0811816753,0671046160,0807593664,0590108395,0671727125,0425097773,0451126505,0449208346"
0060178221,"0440226139,0671016792,0425169685,067166641X,0786860987,0060391839,0060976977,0345333578,1585422118,0440407079"
0060179341,"0060182687,0553802380,0684814897,0452278384,0385246641,0385316925,0553104241,0399135790,0451197542,0451192311"
0060182687,"0060179341,0553802380,0684814897,0452278384,0385246641,0385316925,0553104241,0140296301,0399135790,0451197542"
006018311X,"0425095576,0451194586,0399138161,068971310X,0425158608,0812507738,0373511876,0515134120,0590453866,0671749013"
0060183713,"0060193751,0380978091,0743202562,0060393211,0688180728,0671034421,0671026704,0060008024,0671742760,0375503269"
0060184957,"3803112133,3492225926,0345374797,3498016709,0553240455,0330282565,0425156028,0345311779,031298376X,0312979649"
0060185074,"0446524999,0553238450,0394701577,0684873893,0786012374,0515104191,0451180755,0679740244,0446358576,0767901592"
0060185147,"0440237033,1575668793,0345456521,0892967803,0066214718,0786865644,0553582259,034544003X,0451206835,0060529466"
006018552X,"0590442449,0590997297,0684849216,0064440028,0439061644,0553292714,0451184742,0385492995,0380786699,0312966393"
0060185708,"1551668424,1551668521,0060002077,0380820900,0345453808,0553584219,0505524848,0312977301,0843952083,1551666588"
006018650X,"0373290306,0821756389,0394536746,0345373294,0385315066,0440121353,0061041998,0425087832,0373153279,0380806304"
0060186526,"3764501782,3803112133,3498016709,0553578936,0330282565,0151885338,0061044539,0425156028,0446613150,0449004503"
0060187271,"0394725808,0385497296,0393312801,080410882X,0062507249,0345428455,0553563149,0385492677,067976268X,0671753819"
0060187476,"3548256740,3764501782,3492225926,3498016709,0446613150,3462032208,0061044539,0373028768,0330282565,031298376X"
0060188731,"052594642X,0804108889,0060972777,0385493002,0618015841,068416325X,0679728228,140003339X,0486266893,0345417186"
0060188952,"3764501782,3492225926,3548256740,3498016709,031298376X,0061044539,0425156028,0312979649,0440122961,0553578936"
0060191058,"0671017144,0061009881,0425119114,0061097497,0380731215,0671041649,0425133990,0440223784,0884042847,0670036056"
0060191538,"0425095576,0671670646,067100669X,0373511876,0743202961,0515134120,0394848365,1551665182,0312282702,1572971835"
0060191813,"0671521705,068480753X,0671792814,1551668270,0060176156,0449210189,0446520950,0061098795,1558744592,0399137203"
0060191872,"0373226543,0373226608,0671870955,0440225272,0385316925,0312983417,0385334702,0671681559,037382503X,0380844001"
0060191929,"0972172335,0451130987,0440202493,0684874318,0553273108,0446613665,0525947345,0451407482,0688065708,0440212189"
0060191988,"0515122416,0671004239,3764501782,3492225926,3548256740,0330282565,031298376X,0061044539,3462032208,0449147657"
0060192119,"3492225926,3764501782,3803112133,0345374797,0553578936,0345311779,0330282565,3462032208,0312979649,031298376X"
0060192356,"0394564324,0312963815,0553258990,0446603961,0446519537,0449210928,0440226457,0446520950,0061032077,0671522647"
0060192631,"038049163X,0449003132,0060973323,0688163165,0375504907,0618231617,0375719180,0060198133,0060915544,0385265700"
0060192704,"0679437037,0060163747,0060391553,0425095576,0679457550,0060195460,037322561X,0399142983,0670870897,0373511876"
0060192895,"0590997297,0590442449,0440209358,0394543963,0439061644,0679428887,0553213342,0865470545,0553292714,0688094082"
0060193395,"0670772895,0451183908,0451192583,0394537602,0671024582,067103264X,0394582586,0671567713,0786016418,0743216342"
0060193611,"0140283641,0670031720,156836010X,0765340771,0312194404,0380803941,0060977477,0061095869,0517706814,038549128X"
0060193751,"0060183713,0380978091,0743202562,0060393211,0688180728,0671034421,0671026704,0060008024,0671742760,0375503269"
006019393X,"0140179518,0865470545,0449911683,0517703939,0451194586,0679767924,0743430344,0767908171,042518627X,0743223527"
006019443X,"0060514957,0892967811,0786865644,0380977311,0380521830,0449244172,0385337132,034544003X,031298376X,0440122961"
0060194448,"0590440616,0380521830,0449244172,0679428887,0380645432,0449212629,0345434471,0394530152,0688127169,0590386336"
0060194790,"051512527X,0451207009,0451411277,0802150616,0486275507,0679757899,0684831546,0743225139,0061032069,0345422805"
006019491X,"0679739793,0679728228,0394530152,0449219283,0373028768,0449004503,3462032208,3492225926,3803112133,3764501782"
006019541X,"0316812404,0380711044,0553213113,0140075577,0689704208,0671643703,0590404008,0679728228,0060812508,0060920076"
0060195460,"0679457550,0399142983,0425095576,074341134X,0380707837,0688065708,0380703475,0449230694,0060192704,0373511876"
0060195622,"0440961327,0064403823,0440409233,0590213113,0316058432,0374400164,0679737413,0140244883,0380758369,0060156732"
0060195703,"0505525062,0425189465,1551668939,1551668114,0330282565,3548256740,0373028768,0553578936,3492225926,3498016709"
0060195827,"0345458303,0060520507,0767905199,0385489129,0684848406,0670031046,0060007788,0375724443,0061092827,0553572040"
0060196092,"0446302066,0843947667,0380978857,0385510187,0553107232,0399140824,068815333X,0451410378,0786888083,0515128007"
0060196122,"0385316348,0684845768,0671648144,0061092819,0399142495,044018293X,067941603X,0452281458,0446359408,1551668696"
0060196246,"0525938532,0517594994,0399144048,0525937676,039913879X,0804105278,0385334702,0679736301,0060393211,0452283485"
0060198125,"0812565657,0679776591,0385720602,1573223425,0345417976,0151002630,0140042326,1573222453,0380815923,0451526384"
0060198133,"0140149902,0425129632,0743421566,0060188952,0061096644,0330269828,0749399570,0553290762,0380769549,0140286276"
0060198303,"0066214718,0440237033,0373227388,0553107445,1575668793,0345456521,0892967803,0786865644,0553582259,0060514957"
0060198346,"0525938532,0688084915,0688084923,0517594994,0688162827,0399522115,0399144048,0451081641,0060392096,0451192575"
0060198702,"0373711484,042518045X,0505525062,0380645432,1551668939,0425189465,1551668114,1551666928,0743477316,0373262485"
0060199563,"0373250355,0553234609,078688861X,0345352467,0812540026,0553251996,034530456X,044173118X,0441644651,080505622X"
0060199598,"042517025X,0425176118,0517594994,0446517984,042518384X,0312179405,0312977263,0380700247,0515129240,039453512X"
0060199652,"0679728228,3492225926,3764501782,3803112133,0151885338,0486424634,0449004503,0553274554,3498016709,3548256740"
0060229357,"0670899771,0743240855,0448095041,0448095068,0312287712,1401088945,006000942X,044809505X,0448095025,0446524565"
0060234814,"0804108552,0894801406,0151885338,0553578936,3764501782,3492225926,044021808X,031298376X,0330282565,0486424634"
0060248025,"0060256737,0062502891,0060256656,0399522115,0553577565,0156907380,0671721631,0440235758,0345388232,0060254920"
0060254920,"0394800303,0156907380,0671013777,0446602280,0440222680,0679732187,0449217124,1582432678,0394823370,0380711044"
0060256656,"0590222961,0553156810,0395345308,0590442449,0373226322,0590997297,059044297X,0060248025,0060254920,0449219143"
0060256672,"0060256737,1562470043,0446607401,0060165987,0937295019,0671894412,0451184734,0679728228,0375726012,0393301583"
0060256737,"0060248025,0060256672,0060165987,0486278026,1565548353,0312989709,0836220730,0380730219,0679728228,0140268863"
0060263857,"0590568892,0156907380,055321246X,0399522115,0937295078,0373226144,0671891529,0060254920,0811816753,1562470752"
0060283130,"1551663058,0553282352,0440229707,0590997343,0380811812,0146000552,0345319672,0151002630,0451138775,0439284031"
0060294671,"0060571314,1551665964,0553142607,0449005569,0060502177,0671521446,0060085452,0553253360,044022389X,0440234719"
0060391448,"0156005778,0743222253,0399149635,0439282462,0679445226,0684859475,0060919655,0892966548,0061097357,015694877X"
0060391480,"0140244883,0395875145,0445409029,055357292X,0553296345,0061061433,0446610879,0061056871,0446400807,0441089348"
0060391502,"0821733621,0446353256,044040665X,1551668157,0142003190,0151885338,0330282565,3548256740,031298376X,0449147657"
0060391553,"0553231081,0805047379,3803112133,0449004503,0373028768,3498016709,0449147657,0345374797,0330282565,0486424634"
0060391626,"0399149368,0553210165,0345442741,0060176075,0452279488,1578562325,0449004503,0373028768,0440122961,0425156028"
0060391677,"0393010465,0812522486,0312955731,0812885406,0671722794,0812522494,0394886690,0553203487,0679402195,0486264653"
0060391782,"078688200X,0446353728,0439061644,0307020223,0375407340,0590494473,030681188X,0679734570,0515109908,0380803305"
0060391839,"0060178221,3498016709,0312979649,3803112133,0061044539,0553578936,3462032208,0373028768,0425156028,3548256740"
0060391901,"1551663058,0380811812,1853261912,0060931280,0425167135,0425165299,059043344X,0141001844,0451199871,0425162400"
0060392096,"0451081641,0451192575,0446602698,0684850303,068815252X,0446600458,0671674366,0553089196,0679726225,0345375351"
0060392452,"0446532231,0375701214,0679741836,0385260075,042510429X,0609802011,193072229X,156858217X,0385491050,0440402913"
0060392827,"014027166X,0312966164,0671015176,0345444388,0373835353,067972575X,0394751019,0393307069,030681188X,037376474X"
0060392991,"0446604941,0807552933,0807576743,0670852341,0807572632,0451821114,0440202485,038070384X,0807593664,0440202477"
0060393211,"0525938532,0060183713,0517594994,0553089218,0743418166,0399144048,0525937676,039913879X,0804105278,0385334702"
0060393823,"0743489063,0394854438,0451196864,0843952202,0821763415,0449220710,0671873164,0553581503,014032870X,0671786113"
006039384X,"0451409809,0684802031,0886779227,0385497296,067972754X,0345428455,0385491107,0385264666,0312205503,0446602558"
0060394447,"0060165987,0380730219,0439135508,1931686408,1592980414,0312186886,0060097469,0452282292,0060192895,0743226356"
0060502177,"1558746587,1551665964,0553142607,0060002069,0671521446,044022389X,0440234719,0821766392,0373835795,0553583549"
0060502258,"0380795833,1551664968,055338015X,0702222550,0312978332,0345452003,1573223425,0689812361,081296683X,0385336772"
0060502312,"1551667304,0440236746,0743419162,0425195244,0449004864,1551666588,0380818965,0553584219,0505524848,0505525224"
0060504072,"0679435549,0679739793,042518627X,0440167477,0385314256,0553568736,0440102804,038081658X,0441005195,0345460952"
0060504080,"3492225926,3462032208,0151885338,0440122961,044021808X,031298376X,3764501782,0425156028,0486424634,3548256740"
0060504110,"0515137200,0553204343,0425195449,0385304900,0671003348,1551668696,0440224810,0671010085,0553258478,045121157X"
0060505249,"0821771485,0380817896,0060092130,0380819732,0380818213,0505525224,0505524848,0553584219,0425195244,1551666588"
0060505257,"0449211096,0449209709,0812575970,0394588428,067941388X,038000741X,0786889187,0812575962,0375505296,0345388232"
0060505729,"0373765037,0373245386,0373832370,0373765150,0373707118,0373790910,0373711719,0373711506,0373511876,0373098537"
0060505885,"0767912950,0060507845,0515134120,0425139522,0380729865,0380798395,0804108862,1400032644,0380805421,0451206339"
0060506989,"0312978375,0515112690,0380802201,0515128023,0440207428,0515093491,0440234689,0671870610,0515114863,0515126985"
0060507365,"0440234719,0449147657,0449004503,0446613150,0553240455,3764501782,0425156028,0373028768,0345311779,0312979649"
0060507403,"0140179518,0865470545,0449911683,0312194390,0679767924,0743430344,042518627X,0743223527,0679767398,0312203764"
0060507845,"0758203888,0380798395,0505525224,0345464982,0060529466,0505524848,0449004864,1551666588,0399147330,0743419162"
0060508108,"0380819600,0451211146,0553583549,0449004864,0505525224,0380818965,1551666588,0505524848,0553584219,0312977301"
0060508183,"0671463195,0060514949,0061096113,0141001534,0553117084,1551667940,002089130X,0812521331,0451184149,0553268899"
0060508302,"0373244428,1551665336,0821752286,0345341201,0425176339,0743489063,0373835124,0373484518,1551668254,0394854438"
006050918X,"044040942X,0679450009,0807576743,0811214982,0152020683,0439376068,1860463312,0671643703,0767906543,0385721633"
0060509392,"2707306959,0679445102,006000780X,0679432965,0877958416,0679455884,0060931280,0553136283,0804107386,1573222348"
0060509406,"0446690155,3764501782,3803112133,3498016709,3492225926,0553240455,044021808X,0345311779,0486424634,0425156028"
0060509465,"0380819732,0312982623,0778320219,0505524848,0345464982,0553584219,0380818965,0312977301,0505525224,0449004864"
0060509546,"0553584219,0345464982,0060529466,0425195244,0312977301,0399147330,0380818965,0505525224,0743419162,0449004864"
0060510323,"8420482013,8483101610,0449208885,8433969978,0743453255,0553260197,0060927216,0060951311,0142002399,0385721234"
0060511508,"0060002077,1551668521,0060577487,0380802929,0380819600,0060092963,0553583549,0451211146,0060508108,0380820900"
0060512377,"0380795558,0373226802,1558745726,0373825072,0425192768,0552998532,0670032069,0446677477,0747255504,0671884484"
0060512806,"0486424634,3803112133,0330282565,0312979649,031298376X,3764501782,0449147657,0345374797,0553578936,0440122961"
0060512822,"006017773X,3764501782,3803112133,0345311779,0312979649,3498016709,0151885338,0330282565,044021808X,0345374797"
0060513640,"0553583565,0380820897,0743453069,0380820838,0553583549,0312982208,0821771477,0373691114,0060092661,0060092645"
