user_id,location,age,age_group,cluster_id,collaborative_cluster_recommendation,demographic_recommendation,geographic_recommendation
276859,"ottawa, ontario, canada",,Unknown,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0394561619', '0440212561', '0440217563', '0684859300', '0062502182', '0060085452', '0060192704', '0060193395', '0060987561', '0061053309']"
276861,"zauggenried, bern, switzerland",17.0,Teenager,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '059035342X', '043935806X', '0439136369', '0439064872', '0439139597', '0446310786', '0439064864', '0439136350', '0446608955']",['3423201509']
276866,"mönchengladbach, nordrhein-westfalen, germany",27.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['345309221X', '3453025423', '3746614007', '3100478258', '3100485025', '3257061269', '325723287X', '3257233477', '3404701704', '3407785682']"
276875,"roma, lazio, italy",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0385504209', '0571200435', '0802130208', '1853260088', '0142002399', '0316096199', '0811802981', '1400034779', '1853260010', '0140233903']"
276904,"battle ground, washington, usa",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0440414121', '0140186522', '0451524934', '0345346297', '0375506276', '0380798395', '0060930535', '0060934913', '0375412824', '0385492081']"
276925,"barcelona, barcelona, spain",22.0,Young Adult,20,"['0006550576', '0020418809', '0044409494', '0060002077', '0060012897', '006001315X', '0060391480', '0060514949', '0060525460', '0060549270']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['002542730X', '0140430016', '0140430113', '0140430725', '0345300556', '0345333926', '0345347951', '0451457994', '0751503894', '8478884459']"
276928,"highland, california, usa",10.0,Teenager,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '059035342X', '043935806X', '0439136369', '0439064872', '0439139597', '0446310786', '0439064864', '0439136350', '0446608955']","['0380752999', '0380753014', '0380774933', '050552354X', '0505523752', '0505523892', '0505524090', '0515126772', '0515128546', '0515135216']"
276929,"collex, geneva, switzerland",35.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['2070404587', '2266102621', '2020564777', '2266104535', '0060964049', '0380807343', '0439064864', '2070725804', '2226070109', '2226135022']"
276936,"kitzbuehel, tirol, austria",32.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['3596122279', '3453150538']"
276939,"poissy, yvelines, france",23.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['2253063339', '2253144452', '226612269X', '8423310353', '2070419657', '0140187758', '0316154601', '059035342X', '0971880107', '2264027134']"
276954,"freiburg, baden-wuerttemberg, germany",43.0,Middle-aged,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0345387554', '3518366823', '3257227809', '3596150981', '0671727796', '3257229364', '0553273906', '0553276328', '0671737775', '0671742760']"
276964,"villa ridge, missouri, usa",34.0,Young Adult,18,"['0020868308', '006017773X', '0060188731', '0060508302', '0060512822', '0060514930', '0060557257', '0060916508', '0060924845', '0060932813']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0345348672', '0345354621', '0345435036', '0812550307', '0886775957', '0425104273', '0440220602', '0886775426', '0684867621', '0886774802']"
276984,"yarmouth, nova scotia, canada",11.0,Teenager,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '059035342X', '043935806X', '0439136369', '0439064872', '0439139597', '0446310786', '0439064864', '0439136350', '0446608955']","['0060193611', '0060965819', '0060987561', '0140283641', '0312925883', '0375756981', '0380720132', '0380788624', '0385324057', '0385729340']"
276988,"sarnia, ontario, canada",,Unknown,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0345342968', '0425115801', '0618002227', '0061094404', '0140177396', '0345370775', '0425122123', '0425133516', '0425180964', '0440220602']"
276994,"wien, wien, austria",25.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0140620125', '0553572350', '0553572377', '0671891510', '0894800159', '3250600555', '3257227809', '3257229909', '3404130014', '3518366823']"
277042,"hiram, georgia, usa",,Unknown,18,"['0020868308', '006017773X', '0060188731', '0060508302', '0060512822', '0060514930', '0060557257', '0060916508', '0060924845', '0060932813']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0151002517', '0609804138', '0312283709', '0345413350', '0446611212', '074343627X', '0446605484', '0786881852', '1569245134', '0843944390']"
277051,"cologne, nordrhein-westfalen, germany",18.0,Teenager,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '059035342X', '043935806X', '0439136369', '0439064872', '0439139597', '0446310786', '0439064864', '0439136350', '0446608955']","['0330262130', '0385720920', '0399149155', '3257229534', '3423202947', '3499224623', '3596259924', '0060008032', '0446611662', '3404118960']"
277087,"barcelona, cataluña, spain",29.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['8478884459', '0375700668', '8495501198', '8495618605']"
277107,"eugene, oregon, usa",57.0,Senior,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0385504209', '0316666343', '044023722X', '0671027360', '0440234743', '0446607657', '0385510438', '1400031354', '1400034779']","['0060930535', '0141301058', '0345302834', '0345339681', '0345347536', '038542017X', '0451524934', '0553148001', '081297106X', '1558745157']"
277143,"prospect, connecticut, usa",34.0,Young Adult,6,"['0007154615', '0044409494', '0060097469', '0060256672', '0060256737', '0060392991', '0060652934', '0060809248', '0060922249', '0060927240']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['031286504X', '0142001740', '0345342968', '0609806505', '0142001821', '0767903382', '067976402X', '0743249291', '0060987103', '0060923245']"
277157,"garden grove, california, usa",70.0,Senior,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0385504209', '0316666343', '044023722X', '0671027360', '0440234743', '0446607657', '0385510438', '1400031354', '1400034779']","['0399148728', '0345452550', '0399146504', '0399146687', '0399147101', '0399151451', '0671024094', '074320607X', '0743486226', '0345450175']"
277168,"palestine, texas, usa",37.0,Middle-aged,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0373711263', '0440241073', '0505525178', '0812568710', '0671032658', '0060512822', '0373709862', '0373710291', '0373711328', '0380724987']"
277170,"pasadena, california, usa",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0060936363', '0345337662', '0345366239', '0385333846', '0394178009', '0394756886', '0451526570', '0486275434', '0517122707', '0156027321']"
277171,"tilton, new hampshire, usa",54.0,Middle-aged,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0553580930', '0804102511', '0449213730', '080410946X', '0451173139', '0345404114', '0375724400', '0385479565', '0425156028', '0449213013']"
277187,"st. louis, missouri, usa",47.0,Middle-aged,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0028604199', '0060957409', '0060958324', '0062508113', '0064400085', '0064430170', '0140042598', '014017737X', '0140374248', '0140386645']"
277195,"san francisco, california, usa",54.0,Middle-aged,0,"['006018552X', '0060185708', '0060193611', '0060198303', '0060256672', '0060508302', '0060531231', '0060801263', '0060809248', '006092411X']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0060930535', '0345339703', '0375701966', '0060391626', '0060924799', '0060934913', '0060973897', '0060977493', '0064401871', '006440188X']"
277196,"saginaw, michigan, usa",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0312979479', '0345339681', '034541005X', '0440219078', '0446365386', '0449209733', '0553274295', '0553280414', '014025448X', '0140345353']"
277197,"allendale, michigan, usa",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0316969680', '0440225442', '0375703861', '0743229878', '0743206045']"
277203,"olympia, washington, usa",8.0,Teenager,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '059035342X', '043935806X', '0439136369', '0439064872', '0439139597', '0446310786', '0439064864', '0439136350', '0446608955']","['0064406970', '0140042598', '0316168815', '0345296052', '0345296087', '0345382846', '0345440145', '0385306024', '0385479565', '0394580567']"
277244,"des moines, iowa, usa",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0060391626', '0140318909', '014034019X', '014034294X', '0312925883', '0345367898', '0375504397', '0375505148', '0399144463', '0425105334']"
277272,"porto, porto, portugal",43.0,Middle-aged,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0140440488', '0152164561', '0261103288', '037325024X', '038549081X', '0679734465', '1931543380', '0374172897', '0312979487', '0380977788']"
277378,"vancouver, british columbia, canada",33.0,Young Adult,9,"['0060917016', '0060951311', '0061056006', '0061056014', '0061056022', '0064400026', '0064400050', '0064400069', '0064400077', '0064400085']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0060916508', '0140050000', '0140094296', '0140481346', '031205436X', '0312278586', '0345334531', '0345410017', '0385315287', '0385336179']"
277427,"gilbert, arizona, usa",48.0,Middle-aged,20,"['0006550576', '0020418809', '0044409494', '0060002077', '0060012897', '006001315X', '0060391480', '0060514949', '0060525460', '0060549270']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['002542730X', '0152050167', '0394726251', '0394740181', '0399146113', '0441627404', '0446600415', '0446608890', '0451203593', '0515131229']"
277439,"turner, oregon, usa",65.0,Senior,21,"['0060163747', '0060256656', '0060256672', '0060256737', '0060900075', '0060928360', '0060965819', '0060972009', '0061053716', '0061093653']","['0971880107', '0385504209', '0316666343', '044023722X', '0671027360', '0440234743', '0446607657', '0385510438', '1400031354', '1400034779']","['0316666343', '0399149821', '0671027360', '0345444892', '0345452550', '0385504209', '0671038443']"
277466,"manchester, connecticut, usa",50.0,Middle-aged,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0140077022', '0439064872', '0439136369', '0439139600', '043935806X', '043936213X', '0446364193', '0452281903', '0618129030', '068484477X']"
277478,"schiedam, zuid-holland, netherlands",31.0,Young Adult,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0752853694', '0345330129', '1558745718', '0312113420', '0312979533', '0440213320', '0061091995', '0061092045', '0061099252', '006447108X']"
277509,"baixa da banheira, setúbal, portugal",34.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['1400030382', '0061091944']"
277523,"woodstock, virginia, usa",62.0,Senior,18,"['0020868308', '006017773X', '0060188731', '0060508302', '0060512822', '0060514930', '0060557257', '0060916508', '0060924845', '0060932813']","['0971880107', '0385504209', '0316666343', '044023722X', '0671027360', '0440234743', '0446607657', '0385510438', '1400031354', '1400034779']","['0312289723', '0316603570', '0316693200', '0345452577', '0345452593', '0385336322', '0385508042', '0385510438', '039915180X', '0399151877']"
277527,"oakland, california, usa",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0060964049', '0140345353', '0312194390', '0316777722', '0374516812', '0375707425', '0385484518', '0446310786', '0451169514', '0452274427']"
277554,"oxford, michigan, usa",24.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0345392825', '0553211803', '0452268060', '0345435168', '0446387878', '0446518581', '0449907481']"
277562,"tonbridge, kent, united kingdom",22.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0140043519', '0552996009', '0140014845', '1853260363']"
277563,"felton, california, usa",66.0,Senior,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0385504209', '0316666343', '044023722X', '0671027360', '0440234743', '0446607657', '0385510438', '1400031354', '1400034779']","['0312961324', '0380018179', '0440236673', '0553204572', '0312986769', '0060192356', '0684853299', '0373483694', '006101351X', '0345402871']"
277589,"sunnyvale, california, usa",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0140178406', '0140430725', '0312966199', '0316284955', '0345314484', '0451169530', '0486284735', '0553204564', '0553205587', '0553234595']"
277623,"alamosa, co, usa",54.0,Middle-aged,23,"['0060168013', '0060173289', '0060175818', '0060187271', '0060532149', '0060926317', '0060976977', '0061013315', '0061020664', '0064400484']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0028604199', '0140340203', '1400031346', '1400031354', '002542730X', '0786890436', '1590521986']"
277629,"pierre, south dakota, usa",50.0,Middle-aged,18,"['0020868308', '006017773X', '0060188731', '0060508302', '0060512822', '0060514930', '0060557257', '0060916508', '0060924845', '0060932813']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0399132414', '0671795740', '0380018179', '0385472943', '0440241073', '0671000314', '0380005166', '0671000306', '0671026682', '0425116840']"
277639,"forsyth, montana, usa",48.0,Middle-aged,18,"['0020868308', '006017773X', '0060188731', '0060508302', '0060512822', '0060514930', '0060557257', '0060916508', '0060924845', '0060932813']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0440214041', '034539657X', '0425147363', '0440211727', '0446794031', '0451162145', '0553297260', '0812543262', '0425142485', '044921852X']"
277662,"charleston, south carolina, usa",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0064404994', '0064472272', '0140481389', '0345313860', '0345342968', '0380789019', '0380814021', '0385314280', '0425148297', '0425176037']"
277681,"le chesnay, ile de france, france",24.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['2070362388', '2253044903', '2253150711', '2253152846']"
277710,"douglasville, georgia, usa",56.0,Senior,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0385504209', '0316666343', '044023722X', '0671027360', '0440234743', '0446607657', '0385510438', '1400031354', '1400034779']","['0440225825', '0451208765', '0451451430', '0451456718', '0451456734', '0451458508', '0525945210', '0553256696', '055327211X', '0553292455']"
277711,"mannheim, baden-wuerttemberg, germany",34.0,Young Adult,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0316096199', '0671755056', '1573227889', '3442350247', '3442437725', '0140089225', '0671017144', '3499121581', '3746614007', '3471772707']"
277744,"springfield, missouri, usa",,Unknown,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0439404371', '006000438X', '0060928336', '0061093084', '014034019X', '0312272243', '0312289510', '0316769487', '0316769495', '0316769509']"
277879,"st. thomas, ontario, canada",40.0,Middle-aged,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0060958022', '0451188454', '0812550390', '0441005926', '0446601241', '0451172817', '0671759361', '0590624008', '0671004565', '0812510488']"
277882,"stuttgart, baden-wuerttemberg, germany",36.0,Middle-aged,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['3499224615', '0590846280', '3499224623', '325722575X', '3423202947', '3423203668', '3423204206', '3442541751', '3518396315', '3257233396']"
277901,"bath, pennsylvania, usa",40.0,Middle-aged,14,"['0002251760', '0044409494', '0060008024', '0060099089', '0060248025', '0060256672', '0060562250', '0061093327', '0064440044', '0140042520']","['0971880107', '0316666343', '0385504209', '0142001740', '0671027360', '0060928336', '0786868716', '0440214041', '0312195516', '0446672211']","['0064440044', '0452282152', '0679427430', '0446672211', '0446675059', '0064440214', '0394890485', '0698119517']"
277915,"san francisco, california, usa",,Unknown,8,"['0060191538', '0060195622', '0060584750', '0060976624', '0064408183', '0140012133', '0140440038', '0156006391', '0312099045', '0312241224']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0060930535', '0345339703', '0375701966', '0060391626', '0060924799', '0060934913', '0060973897', '0060977493', '0064401871', '006440188X']"
277922,"st. louis, missouri, usa",26.0,Young Adult,3,"['0020427859', '0020518706', '0060007788', '0060198702', '0060263857', '0060578955', '0060675187', '006091646X', '0060917016', '0060925000']","['0971880107', '0316666343', '0385504209', '0060928336', '0345337662', '0312195516', '059035342X', '044021145X', '0671027360', '0440211727']","['0028604199', '0060957409', '0060958324', '0062508113', '0064400085', '0064430170', '0140042598', '014017737X', '0140374248', '0140386645']"
277923,"oakland, california, usa",,Unknown,10,"['0020449313', '0060256737', '0060294671', '0060391839', '0060921056', '0060976977', '0061053716', '0061097667', '0062508113', '0064400085']","['0971880107', '0316666343', '0312195516', '0385504209', '044023722X', '067976402X', '0060928336', '0142001740', '0452282152', '0446672211']","['0060964049', '0140345353', '0312194390', '0316777722', '0374516812', '0375707425', '0385484518', '0446310786', '0451169514', '0452274427']"
